label	suggested	rule	category	left	right	stratum	mechanism	sim	evidence
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0050	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0210	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0028	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0088	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0098	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0118	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0218	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0027	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0028	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0056	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0096	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0027	UAC-0028	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0027	UAC-0057	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0027	UAC-0097	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0028	UAC-0088	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0028	UAC-0098	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0050	UAC-0056	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0050	UAC-0057	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0056	UAC-0057	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0056	UAC-0096	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0057	UAC-0097	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0082	UAC-0088	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0088	UAC-0098	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0088	UAC-0188	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0094	UAC-0096	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0094	UAC-0097	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0094	UAC-0098	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0094	UAC-0099	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0096	UAC-0097	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0096	UAC-0098	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0096	UAC-0099	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0097	UAC-0098	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0097	UAC-0099	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0098	UAC-0099	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0098	UAC-0198	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0101	UAC-0102	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0101	UAC-0104	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0102	UAC-0104	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0102	UAC-0132	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0102	UAC-0142	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0104	UAC-0114	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0104	UAC-0154	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0104	UAC-0184	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0113	UAC-0114	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0113	UAC-0118	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0113	UAC-0133	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0113	UAC-0173	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0114	UAC-0118	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0114	UAC-0154	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0114	UAC-0184	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0118	UAC-0168	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0118	UAC-0188	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0118	UAC-0198	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0118	UAC-0218	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0120	UAC-0125	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0120	UAC-0140	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0120	UAC-0170	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0120	UAC-0180	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0125	UAC-0145	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0125	UAC-0165	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0125	UAC-0195	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0133	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0142	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0173	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0142	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0145	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0149	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0170	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0180	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0145	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0149	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0149	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0165	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0195	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0184	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0168	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0195	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0188	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0198	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0173	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0177	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0180	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0173	UAC-0177	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0184	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0188	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0184	UAC-0188	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0188	UAC-0198	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0195	UAC-0198	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0200	UAC-0210	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0210	UAC-0212	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0210	UAC-0215	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0210	UAC-0218	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0212	UAC-0215	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0212	UAC-0218	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0215	UAC-0218	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	APT28 (UAC-0028)	UAC-0028	a	identifier	0.8	
different	different	differing-digits	HackerGroup	APT41	APT44	a	edit-similarity	0.8	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0001 (APT28)	a	identifier	0.8	
same	same	decorated-identifier	HackerGroup	UAC-0010	UAC-0010 (Armageddon)	a	identifier	0.8	
different	different	differing-digits	HackerGroup	UAC-0028	UAC-0028 (APT28)	a	identifier	0.8	
same	same	decorated-identifier	HackerGroup	UAC-0057	UAC-0057 (GhostWriter)	a	identifier	0.8	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0010	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0018	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0026	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0027	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0028	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0050	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0056	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0057	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0082	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0088	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0096	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0097	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0098	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0099	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0102	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0104	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0010	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0018	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0026	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0027	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0028	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0041	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0050	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0056	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0057	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0088	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0096	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0097	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0098	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0099	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0101	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0104	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0132	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0142	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0212	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0010	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0018	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0027	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0028	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0041	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0050	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0057	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0082	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0088	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0097	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0098	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0099	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0101	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0102	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0104	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0010	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0018	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0026	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0028	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0041	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0050	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0056	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0082	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0088	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0096	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0098	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0099	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0101	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0102	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0104	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0026	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0027	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0028	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0041	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0056	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0057	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0082	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0088	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0096	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0097	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0098	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0099	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0101	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0102	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0104	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0113	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0114	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0118	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0120	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0140	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0212	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0026	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0027	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0041	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0050	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0056	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0057	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0082	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0096	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0097	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0099	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0101	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0113	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0114	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0210	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0212	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0018	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0041	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0050	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0057	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0063	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0082	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0088	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0094	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0097	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0026	UAC-0098	a	edit-similarity	0.75	
